Team,Group,R32,R16,QF,SF,Final,Winner,Group_Prob,R32_Prob,R16_Prob,QF_Prob,SF_Prob,Final_Prob,Winner_Prob,Advance_Prob
Panama,100000,69622,29043,12418,5442,5442,1207,1.0,0.6962,0.2904,0.1242,0.0544,0.0544,0.0121,0.6962
Algeria,100000,53641,24575,11188,5180,5180,1188,1.0,0.5364,0.2458,0.1119,0.0518,0.0518,0.0119,0.5364
United States,100000,67820,28411,12251,5430,5430,1156,1.0,0.6782,0.2841,0.1225,0.0543,0.0543,0.0116,0.6782
Ivory Coast,100000,56599,23667,10334,4642,4642,971,1.0,0.566,0.2367,0.1033,0.0464,0.0464,0.0097,0.566
Egypt,100000,56965,23355,9995,4409,4409,944,1.0,0.5696,0.2336,0.1,0.0441,0.0441,0.0094,0.5696
Tunisia,100000,60668,23317,9454,4018,4018,842,1.0,0.6067,0.2332,0.0945,0.0402,0.0402,0.0084,0.6067
Uzbekistan,100000,44376,18231,7799,3474,3474,764,1.0,0.4438,0.1823,0.078,0.0347,0.0347,0.0076,0.4438
Jordan,100000,51217,19302,7882,3374,3374,691,1.0,0.5122,0.193,0.0788,0.0337,0.0337,0.0069,0.5122
Sweden,100000,44063,17417,7183,3192,3192,671,1.0,0.4406,0.1742,0.0718,0.0319,0.0319,0.0067,0.4406
New Zealand,100000,56528,19645,7604,3148,3148,583,1.0,0.5653,0.1965,0.076,0.0315,0.0315,0.0058,0.5653
DR Congo,100000,35539,13599,5527,2378,2378,487,1.0,0.3554,0.136,0.0553,0.0238,0.0238,0.0049,0.3554
Bosnia and Herzegovina,100000,43288,13863,5038,2082,2082,434,1.0,0.4329,0.1386,0.0504,0.0208,0.0208,0.0043,0.4329
South Africa,100000,37501,12440,4664,1918,1918,409,1.0,0.375,0.1244,0.0466,0.0192,0.0192,0.0041,0.375
Saudi Arabia,100000,34153,11543,4322,1754,1754,358,1.0,0.3415,0.1154,0.0432,0.0175,0.0175,0.0036,0.3415
Ghana,100000,27688,9051,3342,1420,1420,290,1.0,0.2769,0.0905,0.0334,0.0142,0.0142,0.0029,0.2769
Iraq,100000,26907,9771,3757,1542,1542,286,1.0,0.2691,0.0977,0.0376,0.0154,0.0154,0.0029,0.2691
Haiti,100000,26746,8731,3184,1255,1255,261,1.0,0.2675,0.0873,0.0318,0.0126,0.0126,0.0026,0.2675
Cape Verde,100000,27223,8719,3239,1311,1311,265,1.0,0.2722,0.0872,0.0324,0.0131,0.0131,0.0026,0.2722
Qatar,100000,32548,9093,3015,1184,1184,235,1.0,0.3255,0.0909,0.0302,0.0118,0.0118,0.0024,0.3255
Curaçao,100000,23047,6945,2412,976,976,192,1.0,0.2305,0.0694,0.0241,0.0098,0.0098,0.0019,0.2305
