Team_A,Team_B,Probability,Elo_A,Elo_B,Elo_Diff,Warm_A,Warm_B,Koppen_A,Koppen_B,Climate_Zone_A,Climate_Zone_B,Is_Climate_Clash,Warm_Team,Cool_Team,Climate_Score_A,Climate_Score_B,Venue_Temp_C,Climate_Diff_Score,p_adjustment,Climate_Flag_Tier
Colombia,Croatia,0.0385,2083.0,1979.0,104.0,1,0,Af,Cfb,Tropical,Temperate,1,Colombia,Croatia,1.0,0.5,28.0,0.5,0.016,Tier 2 (Moderate)
Brazil,Canada,0.0371,2081.0,1903.0,178.0,1,0,Am,Dfc,Tropical,Continental,1,Brazil,Canada,1.0,0.2,28.3,0.8086,0.0259,Tier 2 (Moderate)
Japan,Canada,0.0356,2008.0,1903.0,105.0,1,0,Cfa,Dfc,Temperate,Continental,1,Japan,Canada,0.5,0.2,28.3,0.3032,0.0097,Tier 2 (Moderate)
Uruguay,Austria,0.0349,1986.0,1929.0,57.0,1,0,Cfa,Dfb,Temperate,Continental,1,Uruguay,Austria,0.5,0.2,28.5,0.3054,0.0098,Tier 2 (Moderate)
Iran,France,0.0344,1893.0,2160.0,-267.0,1,0,BWh,Cfb,Arid,Temperate,1,Iran,France,0.9,0.5,28.5,0.4071,0.013,Tier 2 (Moderate)
Ecuador,Czech Republic,0.0343,2033.0,1837.0,196.0,1,0,Af,Dfb,Tropical,Continental,1,Ecuador,Czech Republic,1.0,0.2,28.3,0.8086,0.0259,Tier 2 (Moderate)
Saudi Arabia,England,0.034,1692.0,2083.0,-391.0,1,0,BWh,Cfb,Arid,Temperate,1,Saudi Arabia,England,0.9,0.5,25.4,0.3629,0.0116,Tier 2 (Moderate)
Jordan,England,0.034,1766.0,2083.0,-317.0,1,0,BWh,Cfb,Arid,Temperate,1,Jordan,England,0.9,0.5,25.4,0.3629,0.0116,Tier 2 (Moderate)
DR Congo,England,0.0338,1774.0,2083.0,-309.0,1,0,Am,Cfb,Tropical,Temperate,1,DR Congo,England,1.0,0.5,25.4,0.4536,0.0145,Tier 2 (Moderate)
Ecuador,South Korea,0.0331,2033.0,1895.0,138.0,1,0,Af,Dwa,Tropical,Continental,1,Ecuador,South Korea,1.0,0.2,28.3,0.8086,0.0259,Tier 2 (Moderate)
Ecuador,England,0.0331,2033.0,2083.0,-50.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,England,1.0,0.5,25.4,0.4536,0.0145,Tier 2 (Moderate)
Japan,Norway,0.031,2008.0,1994.0,14.0,1,0,Cfa,Dfc,Temperate,Continental,1,Japan,Norway,0.5,0.2,22.5,0.2411,0.0077,Tier 2 (Moderate)
Algeria,England,0.0306,1885.0,2083.0,-198.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,England,0.9,0.5,25.4,0.3629,0.0116,Tier 2 (Moderate)
Ecuador,Scotland,0.0304,2033.0,1857.0,176.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,Scotland,1.0,0.5,28.3,0.5054,0.0162,Tier 2 (Moderate)
Egypt,France,0.0301,1818.0,2160.0,-342.0,1,0,BWh,Cfb,Arid,Temperate,1,Egypt,France,0.9,0.5,28.5,0.4071,0.013,Tier 2 (Moderate)
Spain,Austria,0.2145,2216.0,1929.0,287.0,1,0,Csa,Dfb,Temperate,Continental,1,Spain,Austria,0.5,0.2,19.4,0.0,0.0,Tier 3 (Weak)
Morocco,Netherlands,0.166,1988.0,2006.0,-18.0,1,0,Csa,Cfb,Temperate,Temperate,1,Morocco,Netherlands,0.5,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Portugal,Croatia,0.1446,2049.0,1979.0,70.0,1,0,Csa,Cfb,Temperate,Temperate,1,Portugal,Croatia,0.5,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Brazil,Netherlands,0.1307,2081.0,2006.0,75.0,1,0,Am,Cfb,Tropical,Temperate,1,Brazil,Netherlands,1.0,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Colombia,Switzerland,0.127,2083.0,1990.0,93.0,1,0,Af,Cfb,Tropical,Temperate,1,Colombia,Switzerland,1.0,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Mexico,Canada,0.1242,1957.0,1903.0,54.0,1,0,BSh,Dfc,Arid,Continental,1,Mexico,Canada,0.9,0.2,19.8,0.0,0.0,Tier 3 (Weak)
Mexico,England,0.1066,1957.0,2083.0,-126.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,England,0.9,0.5,17.6,0.0,0.0,Tier 3 (Weak)
Portugal,England,0.1045,2049.0,2083.0,-34.0,1,0,Csa,Cfb,Temperate,Temperate,1,Portugal,England,0.5,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Colombia,Croatia,0.0985,2083.0,1979.0,104.0,1,0,Af,Cfb,Tropical,Temperate,1,Colombia,Croatia,1.0,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Turkey,Belgium,0.0954,1998.0,2002.0,-4.0,1,0,Csa,Cfb,Temperate,Temperate,1,Turkey,Belgium,0.5,0.5,17.1,0.0,0.0,Tier 3 (Weak)
Uruguay,Austria,0.0874,1986.0,1929.0,57.0,1,0,Cfa,Dfb,Temperate,Continental,1,Uruguay,Austria,0.5,0.2,19.4,0.0,0.0,Tier 3 (Weak)
Spain,Croatia,0.0859,2216.0,1979.0,237.0,1,0,Csa,Cfb,Temperate,Temperate,1,Spain,Croatia,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Japan,Scotland,0.0844,2008.0,1857.0,151.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,Scotland,0.5,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Portugal,Switzerland,0.0773,2049.0,1990.0,59.0,1,0,Csa,Cfb,Temperate,Temperate,1,Portugal,Switzerland,0.5,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Spain,Belgium,0.0728,2216.0,2002.0,214.0,1,0,Csa,Cfb,Temperate,Temperate,1,Spain,Belgium,0.5,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Spain,England,0.0727,2216.0,2083.0,133.0,1,0,Csa,Cfb,Temperate,Temperate,1,Spain,England,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Colombia,England,0.0725,2083.0,2083.0,0.0,1,0,Af,Cfb,Tropical,Temperate,1,Colombia,England,1.0,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Mexico,Switzerland,0.0714,1957.0,1990.0,-33.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Switzerland,0.9,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Argentina,Belgium,0.0697,2190.0,2002.0,188.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Argentina,Belgium,0.5,0.5,25.4,0.0,0.0,Tier 3 (Weak)
Japan,Scotland,0.0683,2008.0,1857.0,151.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,Scotland,0.5,0.5,28.8,0.0,0.0,Tier 3 (Weak)
Argentina,Switzerland,0.0677,2190.0,1990.0,200.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Argentina,Switzerland,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
United States,New Zealand,0.0636,1832.0,1710.0,122.0,1,0,Cfa,Cfb,Temperate,Temperate,1,United States,New Zealand,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
South Africa,Canada,0.0633,1673.0,1903.0,-230.0,1,0,BSh,Dfc,Arid,Continental,1,South Africa,Canada,0.9,0.2,19.8,0.0,0.0,Tier 3 (Weak)
United States,Belgium,0.0629,1832.0,2002.0,-170.0,1,0,Cfa,Cfb,Temperate,Temperate,1,United States,Belgium,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
Turkey,New Zealand,0.0612,1998.0,1710.0,288.0,1,0,Csa,Cfb,Temperate,Temperate,1,Turkey,New Zealand,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
Turkey,Belgium,0.0601,1998.0,2002.0,-4.0,1,0,Csa,Cfb,Temperate,Temperate,1,Turkey,Belgium,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
Paraguay,New Zealand,0.0576,1937.0,1710.0,227.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Paraguay,New Zealand,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
Ivory Coast,Belgium,0.0571,1836.0,2002.0,-166.0,1,0,Aw,Cfb,Tropical,Temperate,1,Ivory Coast,Belgium,1.0,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Paraguay,Belgium,0.0567,1937.0,2002.0,-65.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Paraguay,Belgium,0.5,0.5,24.2,0.0,0.0,Tier 3 (Weak)
Spain,France,0.0565,2216.0,2160.0,56.0,1,0,Csa,Cfb,Temperate,Temperate,1,Spain,France,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Colombia,Canada,0.0564,2083.0,1903.0,180.0,1,0,Af,Dfc,Tropical,Continental,1,Colombia,Canada,1.0,0.2,15.2,0.0,0.0,Tier 3 (Weak)
Ivory Coast,Switzerland,0.0558,1836.0,1990.0,-154.0,1,0,Aw,Cfb,Tropical,Temperate,1,Ivory Coast,Switzerland,1.0,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Uzbekistan,Croatia,0.0541,1823.0,1979.0,-156.0,1,0,BWk,Cfb,Arid,Temperate,1,Uzbekistan,Croatia,0.4,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Tunisia,Scotland,0.05,1777.0,1857.0,-80.0,1,0,BWh,Cfb,Arid,Temperate,1,Tunisia,Scotland,0.9,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Haiti,Netherlands,0.0487,1661.0,2006.0,-345.0,1,0,Aw,Cfb,Tropical,Temperate,1,Haiti,Netherlands,1.0,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Uzbekistan,England,0.0481,1823.0,2083.0,-260.0,1,0,BWk,Cfb,Arid,Temperate,1,Uzbekistan,England,0.4,0.5,25.4,0.0,0.0,Tier 3 (Weak)
Morocco,Netherlands,0.0458,1988.0,2006.0,-18.0,1,0,Csa,Cfb,Temperate,Temperate,1,Morocco,Netherlands,0.5,0.5,28.8,0.0,0.0,Tier 3 (Weak)
Argentina,New Zealand,0.0451,2190.0,1710.0,480.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Argentina,New Zealand,0.5,0.5,25.4,0.0,0.0,Tier 3 (Weak)
Senegal,Belgium,0.0447,1933.0,2002.0,-69.0,1,0,BSh,Cfb,Arid,Temperate,1,Senegal,Belgium,0.9,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Morocco,France,0.0437,1988.0,2160.0,-172.0,1,0,Csa,Cfb,Temperate,Temperate,1,Morocco,France,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Senegal,Switzerland,0.0429,1933.0,1990.0,-57.0,1,0,BSh,Cfb,Arid,Temperate,1,Senegal,Switzerland,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Mexico,Bosnia and Herzegovina,0.0419,1957.0,1653.0,304.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Bosnia and Herzegovina,0.9,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Paraguay,France,0.0418,1937.0,2160.0,-223.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Paraguay,France,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
United States,France,0.0413,1832.0,2160.0,-328.0,1,0,Cfa,Cfb,Temperate,Temperate,1,United States,France,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Tunisia,Switzerland,0.0404,1777.0,1990.0,-213.0,1,0,BWh,Cfb,Arid,Temperate,1,Tunisia,Switzerland,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Uzbekistan,England,0.0395,1823.0,2083.0,-260.0,1,0,BWk,Cfb,Arid,Temperate,1,Uzbekistan,England,0.4,0.5,19.8,0.0,0.0,Tier 3 (Weak)
DR Congo,Croatia,0.0393,1774.0,1979.0,-205.0,1,0,Am,Cfb,Tropical,Temperate,1,DR Congo,Croatia,1.0,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Japan,Switzerland,0.039,2008.0,1990.0,18.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,Switzerland,0.5,0.5,15.2,0.0,0.0,Tier 3 (Weak)
South Africa,Switzerland,0.0381,1673.0,1990.0,-317.0,1,0,BSh,Cfb,Arid,Temperate,1,South Africa,Switzerland,0.9,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Argentina,England,0.0379,2190.0,2083.0,107.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Argentina,England,0.5,0.5,25.4,0.0,0.0,Tier 3 (Weak)
Mexico,Scotland,0.0372,1957.0,1857.0,100.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Scotland,0.9,0.5,17.6,0.0,0.0,Tier 3 (Weak)
Qatar,Czech Republic,0.037,1552.0,1837.0,-285.0,1,0,BWh,Dfb,Arid,Continental,1,Qatar,Czech Republic,0.9,0.2,19.8,0.0,0.0,Tier 3 (Weak)
Iran,Switzerland,0.0366,1893.0,1990.0,-97.0,1,0,BWh,Cfb,Arid,Temperate,1,Iran,Switzerland,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Japan,France,0.0363,2008.0,2160.0,-152.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,France,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Qatar,South Korea,0.0354,1552.0,1895.0,-343.0,1,0,BWh,Dwa,Arid,Continental,1,Qatar,South Korea,0.9,0.2,19.8,0.0,0.0,Tier 3 (Weak)
Paraguay,Belgium,0.035,1937.0,2002.0,-65.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Paraguay,Belgium,0.5,0.5,17.1,0.0,0.0,Tier 3 (Weak)
Portugal,Canada,0.0345,2049.0,1903.0,146.0,1,0,Csa,Dfc,Temperate,Continental,1,Portugal,Canada,0.5,0.2,15.2,0.0,0.0,Tier 3 (Weak)
Mexico,Belgium,0.0333,1957.0,2002.0,-45.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Belgium,0.9,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Turkey,France,0.0329,1998.0,2160.0,-162.0,1,0,Csa,Cfb,Temperate,Temperate,1,Turkey,France,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
United States,Belgium,0.0324,1832.0,2002.0,-170.0,1,0,Cfa,Cfb,Temperate,Temperate,1,United States,Belgium,0.5,0.5,17.1,0.0,0.0,Tier 3 (Weak)
Egypt,Switzerland,0.0322,1818.0,1990.0,-172.0,1,0,BWh,Cfb,Arid,Temperate,1,Egypt,Switzerland,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Japan,Germany,0.0322,2008.0,2032.0,-24.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,Germany,0.5,0.5,22.5,0.0,0.0,Tier 3 (Weak)
South Africa,Belgium,0.0319,1673.0,2002.0,-329.0,1,0,BSh,Cfb,Arid,Temperate,1,South Africa,Belgium,0.9,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Brazil,France,0.0317,2081.0,2160.0,-79.0,1,0,Am,Cfb,Tropical,Temperate,1,Brazil,France,1.0,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Portugal,England,0.0308,2049.0,2083.0,-34.0,1,0,Csa,Cfb,Temperate,Temperate,1,Portugal,England,0.5,0.5,25.4,0.0,0.0,Tier 3 (Weak)
Saudi Arabia,Belgium,0.0305,1692.0,2002.0,-310.0,1,0,BWh,Cfb,Arid,Temperate,1,Saudi Arabia,Belgium,0.9,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Ecuador,Switzerland,0.0303,2033.0,1990.0,43.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,Switzerland,1.0,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Japan,France,0.0302,2008.0,2160.0,-152.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,France,0.5,0.5,22.5,0.0,0.0,Tier 3 (Weak)
Ecuador,Belgium,0.03,2033.0,2002.0,31.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,Belgium,1.0,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Jordan,Belgium,0.0295,1766.0,2002.0,-236.0,1,0,BWh,Cfb,Arid,Temperate,1,Jordan,Belgium,0.9,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Ivory Coast,Canada,0.0291,1836.0,1903.0,-67.0,1,0,Aw,Dfc,Tropical,Continental,1,Ivory Coast,Canada,1.0,0.2,15.2,0.0,0.0,Tier 3 (Weak)
Morocco,France,0.0288,1988.0,2160.0,-172.0,1,0,Csa,Cfb,Temperate,Temperate,1,Morocco,France,0.5,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Morocco,Sweden,0.0286,1988.0,1793.0,195.0,1,0,Csa,Dfc,Temperate,Continental,1,Morocco,Sweden,0.5,0.2,28.8,0.3086,0.0099,Tier 3 (Weak)
Curaçao,Norway,0.0282,1595.0,1994.0,-399.0,1,0,BSh,Dfc,Arid,Continental,1,Curaçao,Norway,0.9,0.2,22.5,0.5625,0.018,Tier 3 (Weak)
Colombia,Germany,0.0277,2083.0,2032.0,51.0,1,0,Af,Cfb,Tropical,Temperate,1,Colombia,Germany,1.0,0.5,28.0,0.5,0.016,Tier 3 (Weak)
Ecuador,Netherlands,0.0276,2033.0,2006.0,27.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,Netherlands,1.0,0.5,20.3,0.0,0.0,Tier 3 (Weak)
DR Congo,England,0.0273,1774.0,2083.0,-309.0,1,0,Am,Cfb,Tropical,Temperate,1,DR Congo,England,1.0,0.5,19.8,0.0,0.0,Tier 3 (Weak)
Australia,Belgium,0.0273,1891.0,2002.0,-111.0,1,0,BWh,Cfb,Arid,Temperate,1,Australia,Belgium,0.9,0.5,17.1,0.0,0.0,Tier 3 (Weak)
Morocco,Germany,0.0272,1988.0,2032.0,-44.0,1,0,Csa,Cfb,Temperate,Temperate,1,Morocco,Germany,0.5,0.5,28.3,0.0,0.0,Tier 3 (Weak)
Mexico,Sweden,0.0272,1957.0,1793.0,164.0,1,0,BSh,Dfc,Arid,Continental,1,Mexico,Sweden,0.9,0.2,17.6,0.0,0.0,Tier 3 (Weak)
Jordan,Switzerland,0.0272,1766.0,1990.0,-224.0,1,0,BWh,Cfb,Arid,Temperate,1,Jordan,Switzerland,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Morocco,Switzerland,0.027,1988.0,1990.0,-2.0,1,0,Csa,Cfb,Temperate,Temperate,1,Morocco,Switzerland,0.5,0.5,28.3,0.0,0.0,Tier 3 (Weak)
Argentina,France,0.0269,2190.0,2160.0,30.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Argentina,France,0.5,0.5,25.4,0.0,0.0,Tier 3 (Weak)
Iraq,England,0.0267,1727.0,2083.0,-356.0,1,0,BWh,Cfb,Arid,Temperate,1,Iraq,England,0.9,0.5,25.4,0.3629,0.0116,Tier 3 (Weak)
Turkey,Sweden,0.0265,1998.0,1793.0,205.0,1,0,Csa,Dfc,Temperate,Continental,1,Turkey,Sweden,0.5,0.2,17.1,0.0,0.0,Tier 3 (Weak)
Saudi Arabia,France,0.0264,1692.0,2160.0,-468.0,1,0,BWh,Cfb,Arid,Temperate,1,Saudi Arabia,France,0.9,0.5,28.5,0.4071,0.013,Tier 3 (Weak)
Japan,France,0.0264,2008.0,2160.0,-152.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Japan,France,0.5,0.5,20.3,0.0,0.0,Tier 3 (Weak)
Algeria,Belgium,0.0262,1885.0,2002.0,-117.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Belgium,0.9,0.5,20.1,0.0,0.0,Tier 3 (Weak)
Mexico,Germany,0.026,1957.0,2032.0,-75.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Germany,0.9,0.5,17.6,0.0,0.0,Tier 3 (Weak)
Morocco,South Korea,0.026,1988.0,1895.0,93.0,1,0,Csa,Dwa,Temperate,Continental,1,Morocco,South Korea,0.5,0.2,28.3,0.3032,0.0097,Tier 3 (Weak)
Argentina,Canada,0.026,2190.0,1903.0,287.0,1,0,Cfa,Dfc,Temperate,Continental,1,Argentina,Canada,0.5,0.2,24.2,0.2593,0.0083,Tier 3 (Weak)
Argentina,France,0.0259,2190.0,2160.0,30.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Argentina,France,0.5,0.5,22.5,0.0,0.0,Tier 3 (Weak)
Turkey,Bosnia and Herzegovina,0.0257,1998.0,1653.0,345.0,1,0,Csa,Cfb,Temperate,Temperate,1,Turkey,Bosnia and Herzegovina,0.5,0.5,17.1,0.0,0.0,Tier 3 (Weak)
Turkey,Germany,0.0256,1998.0,2032.0,-34.0,1,0,Csa,Cfb,Temperate,Temperate,1,Turkey,Germany,0.5,0.5,17.1,0.0,0.0,Tier 3 (Weak)
Mexico,Croatia,0.0256,1957.0,1979.0,-22.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Croatia,0.9,0.5,17.6,0.0,0.0,Tier 3 (Weak)
Colombia,Norway,0.0255,2083.0,1994.0,89.0,1,0,Af,Dfc,Tropical,Continental,1,Colombia,Norway,1.0,0.2,28.0,0.8,0.0256,Tier 3 (Weak)
Paraguay,Germany,0.0254,1937.0,2032.0,-95.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Paraguay,Germany,0.5,0.5,28.3,0.0,0.0,Tier 3 (Weak)
Colombia,Austria,0.0254,2083.0,1929.0,154.0,1,0,Af,Dfb,Tropical,Continental,1,Colombia,Austria,1.0,0.2,28.0,0.8,0.0256,Tier 3 (Weak)
Uruguay,Croatia,0.0252,1986.0,1979.0,7.0,1,0,Cfa,Cfb,Temperate,Temperate,1,Uruguay,Croatia,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
United States,Germany,0.0251,1832.0,2032.0,-200.0,1,0,Cfa,Cfb,Temperate,Temperate,1,United States,Germany,0.5,0.5,28.3,0.0,0.0,Tier 3 (Weak)
Spain,Netherlands,0.0251,2216.0,2006.0,210.0,1,0,Csa,Cfb,Temperate,Temperate,1,Spain,Netherlands,0.5,0.5,28.5,0.0,0.0,Tier 3 (Weak)
Curaçao,England,0.0249,1595.0,2083.0,-488.0,1,0,BSh,Cfb,Arid,Temperate,1,Curaçao,England,0.9,0.5,25.4,0.3629,0.0116,Tier 3 (Weak)
Colombia,England,0.0248,2083.0,2083.0,0.0,1,0,Af,Cfb,Tropical,Temperate,1,Colombia,England,1.0,0.5,25.4,0.4536,0.0145,Tier 3 (Weak)
Algeria,Switzerland,0.0248,1885.0,1990.0,-105.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Switzerland,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
