Team_A,Team_B,Probability
Egypt,France,0.04538
Austria,England,0.04514
Turkey,Uruguay,0.04491
Belgium,Jordan,0.04488
Czech Republic,France,0.0448
Austria,Turkey,0.04476
Canada,Ecuador,0.04463
Australia,Germany,0.04462
Brazil,Senegal,0.04458
Czech Republic,Morocco,0.04431
France,New Zealand,0.04431
Argentina,New Zealand,0.04421
Colombia,Jordan,0.04386
Croatia,Mexico,0.04347
Australia,Portugal,0.04338
Austria,Portugal,0.04332
Iran,Switzerland,0.04306
Canada,Germany,0.04274
Norway,United States,0.04248
Ecuador,Portugal,0.04219
Bosnia and Herzegovina,Mexico,0.04211
Belgium,Switzerland,0.042
England,Saudi Arabia,0.0417
New Zealand,Switzerland,0.04168
France,Uruguay,0.04152
Canada,France,0.04124
Egypt,Switzerland,0.04119
Norway,Paraguay,0.04104
Morocco,South Korea,0.041
England,Jordan,0.04068
Jordan,Turkey,0.04055
Spain,United States,0.04046
Belgium,Mexico,0.0404
Portugal,Senegal,0.04034
DR Congo,Spain,0.0403
Ecuador,Spain,0.04002
Canada,Ivory Coast,0.03947
Algeria,Turkey,0.03909
Sweden,Switzerland,0.03868
Norway,Tunisia,0.03863
Algeria,England,0.03854
Australia,Norway,0.0385
Ecuador,Sweden,0.03833
Mexico,Panama,0.03818
South Africa,Switzerland,0.03809
Norway,Portugal,0.03797
Ecuador,Iraq,0.0379
Japan,Turkey,0.03782
Brazil,Czech Republic,0.03772
Mexico,Sweden,0.03772
England,Iraq,0.03767
Germany,Spain,0.03758
Algeria,Portugal,0.03754
Brazil,South Korea,0.03736
Czech Republic,Qatar,0.03715
Qatar,South Korea,0.03692
Switzerland,Turkey,0.03666
Czech Republic,Scotland,0.03665
Czech Republic,Ivory Coast,0.03634
Australia,Spain,0.03631
England,Morocco,0.03628
Canada,Tunisia,0.03583
Czech Republic,Tunisia,0.03511
Germany,Sweden,0.03488
Austria,Switzerland,0.03475
Tunisia,Turkey,0.03452
Mexico,Qatar,0.03431
Jordan,Switzerland,0.03426
Haiti,Japan,0.03424
Jordan,Portugal,0.0342
Iran,Norway,0.03409
Croatia,Germany,0.03377
Netherlands,Turkey,0.0334
Scotland,South Korea,0.03336
England,Switzerland,0.03319
Colombia,Iran,0.03279
Egypt,Spain,0.03253
Belgium,South Africa,0.03251
Curaçao,England,0.0325
Belgium,Saudi Arabia,0.03242
South Korea,Tunisia,0.03206
Ivory Coast,Paraguay,0.03193
Ivory Coast,South Korea,0.0319
England,Japan,0.03163
Croatia,Uruguay,0.0314
Curaçao,Norway,0.0313
Canada,Turkey,0.03115
Ivory Coast,United States,0.03109
Algeria,Switzerland,0.03071
Netherlands,South Africa,0.0303
Czech Republic,Norway,0.03007
France,Saudi Arabia,0.03001
Sweden,Turkey,0.02976
Belgium,Iraq,0.0295
Canada,Senegal,0.02913
Germany,Panama,0.02895
Croatia,Ecuador,0.02883
Norway,South Korea,0.02881
Colombia,Iraq,0.02851
Netherlands,Spain,0.02848
France,Haiti,0.02837
Mexico,Saudi Arabia,0.02832
Curaçao,France,0.02827
Croatia,Ivory Coast,0.02825
Bosnia and Herzegovina,Turkey,0.02815
Ivory Coast,Panama,0.02792
England,Scotland,0.02788
Canada,Norway,0.02779
Norway,Sweden,0.02764
Paraguay,Uruguay,0.02721
New Zealand,Norway,0.02719
Australia,Ivory Coast,0.02715
Ecuador,South Africa,0.02697
Czech Republic,Senegal,0.02677
Iraq,Switzerland,0.02669
Cape Verde,England,0.02666
New Zealand,Spain,0.02656
Egypt,Norway,0.02651
Colombia,Mexico,0.02648
Belgium,Canada,0.0264
England,Netherlands,0.02632
Bosnia and Herzegovina,Ecuador,0.02631
Paraguay,Senegal,0.02614
United States,Uruguay,0.02594
Iran,Uruguay,0.02567
Argentina,Canada,0.02557
Paraguay,Switzerland,0.02555
Canada,Sweden,0.02531
Senegal,United States,0.02472
Qatar,Turkey,0.02467
Ivory Coast,Morocco,0.02466
Belgium,Curaçao,0.02463
Argentina,France,0.02454
Croatia,France,0.02445
Iraq,Turkey,0.02421
Colombia,Egypt,0.02399
Iraq,Mexico,0.02377
Canada,Iran,0.02365
Ecuador,Panama,0.0236
Ivory Coast,Scotland,0.0235
Czech Republic,Sweden,0.02349
Panama,Uruguay,0.02324
Curaçao,Switzerland,0.02319
Belgium,Netherlands,0.02317
Bosnia and Herzegovina,Germany,0.0231
Croatia,Senegal,0.02308
Iraq,Ivory Coast,0.02305
Iran,Portugal,0.02303
Mexico,Spain,0.02292
Austria,Paraguay,0.02291
Mexico,Uruguay,0.02276
Iran,Ivory Coast,0.02275
Germany,South Africa,0.02272
Ecuador,Qatar,0.02271
Senegal,Spain,0.02262
Australia,Uruguay,0.02256
Colombia,Curaçao,0.0224
Panama,Senegal,0.02227
Haiti,Mexico,0.02217
Australia,Senegal,0.02216
Austria,United States,0.02215
Senegal,South Korea,0.02201
Switzerland,United States,0.02199
Brazil,Colombia,0.02197
Croatia,Norway,0.02191
Canada,New Zealand,0.02187
Ivory Coast,Japan,0.02184
Belgium,England,0.0218
Iran,Senegal,0.02174
South Korea,Sweden,0.02174
Bosnia and Herzegovina,South Africa,0.02172
Australia,Switzerland,0.02171
Curaçao,Turkey,0.02164
Ivory Coast,Spain,0.02156
Canada,Egypt,0.02149
Ghana,Uzbekistan,0.02149
Canada,Morocco,0.02136
Japan,Spain,0.02114
Uruguay,Uzbekistan,0.02113
Curaçao,Mexico,0.02104
Belgium,Cape Verde,0.02093
Haiti,Tunisia,0.02084
Colombia,Japan,0.02083
Brazil,Croatia,0.02069
Brazil,Canada,0.0205
Netherlands,Senegal,0.0205
Germany,Iran,0.02049
Belgium,Japan,0.02041
Colombia,Netherlands,0.02018
England,Turkey,0.02003
Spain,Switzerland,0.01997
Norway,Uruguay,0.01993
Morocco,Senegal,0.01986
Ivory Coast,Netherlands,0.01983
Colombia,New Zealand,0.01967
Ecuador,Iran,0.01948
Jordan,Paraguay,0.01934
Mexico,Portugal,0.01932
Norway,Panama,0.0193
Germany,Qatar,0.01925
England,Tunisia,0.01923
Japan,South Africa,0.0192
Iraq,Portugal,0.01918
Croatia,Czech Republic,0.01914
Austria,Canada,0.01911
Japan,Senegal,0.01911
Argentina,Croatia,0.01909
Brazil,Switzerland,0.0189
Ecuador,Haiti,0.01888
Algeria,Paraguay,0.01883
France,Panama,0.01879
Germany,Haiti,0.01873
South Korea,Spain,0.01873
Algeria,United States,0.01856
Australia,Austria,0.01846
Austria,Iran,0.01843
Jordan,United States,0.01839
Cape Verde,France,0.01771
Canada,Paraguay,0.0176
Qatar,South Africa,0.01758
Croatia,South Korea,0.01751
Scotland,Senegal,0.01748
Egypt,Uruguay,0.01743
Argentina,Germany,0.01735
Czech Republic,Spain,0.01732
Canada,Jordan,0.01711
Cape Verde,Mexico,0.017
Japan,Paraguay,0.017
Czech Republic,Panama,0.01692
Curaçao,Senegal,0.01683
Switzerland,Uzbekistan,0.01683
Bosnia and Herzegovina,Netherlands,0.01682
Canada,United States,0.0168
Japan,United States,0.01672
Austria,Croatia,0.01668
Egypt,Senegal,0.01655
Canada,Scotland,0.0165
Czech Republic,Iran,0.0165
New Zealand,Senegal,0.01641
Netherlands,Paraguay,0.01609
Argentina,Ecuador,0.01589
Ivory Coast,New Zealand,0.01584
Algeria,Canada,0.01582
Egypt,Portugal,0.01581
Morocco,Switzerland,0.0158
Algeria,Australia,0.01561
England,Sweden,0.01559
Iran,South Korea,0.01557
Haiti,Norway,0.01547
Iran,Jordan,0.01542
Netherlands,United States,0.01536
Austria,Saudi Arabia,0.0153
Algeria,Iran,0.01526
Australia,Jordan,0.01524
Brazil,Curaçao,0.01518
Brazil,Panama,0.01517
Australia,Canada,0.01506
Austria,Panama,0.01502
New Zealand,Uruguay,0.01502
Curaçao,Portugal,0.015
Jordan,Saudi Arabia,0.01498
Panama,South Korea,0.01491
Norway,Saudi Arabia,0.0148
Egypt,Ivory Coast,0.0147
Japan,Portugal,0.01466
Brazil,Portugal,0.01459
Colombia,Portugal,0.014580000000000037
Algeria,Croatia,0.01458
Argentina,Uzbekistan,0.01449
Australia,Netherlands,0.01442
Argentina,Panama,0.0144
Paraguay,Tunisia,0.01436
DR Congo,Ghana,0.01435
Tunisia,United States,0.01419
Australia,Japan,0.01415
Argentina,Norway,0.01412
Canada,England,0.01399
Ivory Coast,Tunisia,0.01382
Croatia,Jordan,0.01375
Brazil,Iraq,0.01366
Egypt,Germany,0.01356
Netherlands,Portugal,0.01354
Czech Republic,Saudi Arabia,0.01353
Algeria,Panama,0.01352
Morocco,South Africa,0.01349
Austria,Egypt,0.01337
DR Congo,Uruguay,0.01333
Croatia,Switzerland,0.0133
New Zealand,Portugal,0.01328
Algeria,Saudi Arabia,0.01326
Germany,Uruguay,0.01323
Canada,Iraq,0.01321
South Korea,Turkey,0.01319
Germany,New Zealand,0.01318
Ecuador,Uruguay,0.01314
England,South Africa,0.0131
England,Paraguay,0.01307
Colombia,Tunisia,0.01301
Jordan,Panama,0.01301
Czech Republic,Uruguay,0.01294
France,South Africa,0.01294
Czech Republic,Haiti,0.01285
Ecuador,Egypt,0.01283
Netherlands,Qatar,0.0128
Iran,Mexico,0.01279
Mexico,Turkey,0.01265
Austria,France,0.0126
Sweden,United States,0.01259
Canada,Spain,0.01254
Scotland,Switzerland,0.01237
Brazil,Spain,0.01216
Panama,Saudi Arabia,0.01216
Paraguay,Sweden,0.01214
Croatia,Saudi Arabia,0.0121
Ecuador,Ivory Coast,0.01205999999999996
Australia,Tunisia,0.01203
Canada,Curaçao,0.01202
Ecuador,New Zealand,0.01201
Argentina,Ivory Coast,0.01196
Iraq,United States,0.01195
Austria,New Zealand,0.01193
Czech Republic,Iraq,0.0119
France,Norway,0.01187999999999989
Bosnia and Herzegovina,Japan,0.01182
Saudi Arabia,South Korea,0.01177
Iraq,Paraguay,0.01176
Germany,Ivory Coast,0.011749999999999927
Ghana,Spain,0.01174
Bosnia and Herzegovina,United States,0.01166
France,Senegal,0.011609999999999898
South Korea,Uruguay,0.0116
Curaçao,Czech Republic,0.01156
Czech Republic,Turkey,0.01151
Argentina,Senegal,0.01147
Colombia,South Korea,0.01144
Senegal,Tunisia,0.01144
Belgium,Tunisia,0.01138
Czech Republic,New Zealand,0.01132
Colombia,Czech Republic,0.01124
Haiti,South Korea,0.01123
Bosnia and Herzegovina,Paraguay,0.01117
Brazil,South Africa,0.01117
Czech Republic,Egypt,0.01115
Morocco,Spain,0.01107
Croatia,Iraq,0.01106
Egypt,South Korea,0.01103
Egypt,Jordan,0.01101
Ecuador,Germany,0.010999999999999899
Bosnia and Herzegovina,France,0.01098
Colombia,Sweden,0.01094
Scotland,South Africa,0.01094
Iraq,Panama,0.01092
New Zealand,South Korea,0.01089
Austria,Cape Verde,0.01087
Bosnia and Herzegovina,Colombia,0.01077
Algeria,Egypt,0.01072
Iran,Saudi Arabia,0.01068
Australia,England,0.01059
Ivory Coast,South Africa,0.01058
Algeria,France,0.01057
Belgium,Croatia,0.01051
Jordan,New Zealand,0.01045
Ivory Coast,Sweden,0.01026
Qatar,United States,0.01025
England,United States,0.01023
Iraq,South Korea,0.01019
South Africa,Tunisia,0.01018
Australia,Sweden,0.01016
Haiti,Sweden,0.01009
Bosnia and Herzegovina,Ivory Coast,0.00996
Paraguay,Qatar,0.00995
Spain,Uruguay,0.009849999999999914
Iran,South Africa,0.00977
Algeria,New Zealand,0.00976
Cape Verde,Jordan,0.00973
Argentina,Mexico,0.00966
Iran,Iraq,0.00965
Belgium,Sweden,0.00963
Curaçao,Paraguay,0.00961
Czech Republic,Portugal,0.00948
Curaçao,Panama,0.00946
Cape Verde,Norway,0.00945
Algeria,Cape Verde,0.00937
Australia,Iraq,0.00936
Switzerland,Uruguay,0.00932
Austria,Uzbekistan,0.00924
Curaçao,South Korea,0.00922
Curaçao,United States,0.00922
Australia,Bosnia and Herzegovina,0.00916
Colombia,Morocco,0.00914
Portugal,South Korea,0.00914
Saudi Arabia,Turkey,0.00897
Cape Verde,Czech Republic,0.00896
Portugal,Tunisia,0.00892
Spain,Tunisia,0.0089
Panama,Switzerland,0.00884
DR Congo,Switzerland,0.0088
Germany,Uzbekistan,0.00879
Senegal,Sweden,0.00879
Egypt,Mexico,0.00867
Croatia,Curaçao,0.00862
Japan,Netherlands,0.008610000000000007
Ivory Coast,Uzbekistan,0.0086
Senegal,Uruguay,0.00846
Croatia,Morocco,0.00845
England,Iran,0.00844
France,Jordan,0.00843
Mexico,New Zealand,0.00839
Norway,Senegal,0.008389999999999898
Canada,Uzbekistan,0.00827
Iraq,Spain,0.00824
Scotland,Spain,0.00819
Belgium,Bosnia and Herzegovina,0.00816
Argentina,Brazil,0.00812
Australia,Curaçao,0.00811
Algeria,Uzbekistan,0.0081
Portugal,Sweden,0.00798
Australia,Qatar,0.00795
Cape Verde,Croatia,0.00795
Croatia,Japan,0.00793
Norway,South Africa,0.00793
Argentina,DR Congo,0.00789
Japan,Qatar,0.00789
France,Qatar,0.00784
Croatia,Turkey,0.00783
Cape Verde,Panama,0.00777
Belgium,Brazil,0.00774
Curaçao,Iraq,0.00766
Netherlands,Uruguay,0.00765
Turkey,Uzbekistan,0.00761
Curaçao,Iran,0.00754
France,Uzbekistan,0.00753
Iraq,New Zealand,0.00753
Cape Verde,South Korea,0.00752
New Zealand,South Africa,0.00747
Ivory Coast,Qatar,0.00745
Colombia,Qatar,0.00738
Colombia,Scotland,0.00735
Morocco,Panama,0.00734
New Zealand,Saudi Arabia,0.00731
Paraguay,Uzbekistan,0.00731
Croatia,Netherlands,0.00725
Mexico,Uzbekistan,0.0072
Ivory Coast,Uruguay,0.00717
Belgium,Panama,0.00715
Egypt,Saudi Arabia,0.00708
Iran,Netherlands,0.00708
Bosnia and Herzegovina,Portugal,0.00707
Croatia,Scotland,0.00706
Spain,Sweden,0.00705
Egypt,South Africa,0.00703
United States,Uzbekistan,0.00697
Argentina,Netherlands,0.00694
Argentina,Austria,0.006920000000000037
Belgium,Uzbekistan,0.00692
Colombia,Saudi Arabia,0.00692
Belgium,Morocco,0.00691
Ecuador,Uzbekistan,0.00691
Norway,Uzbekistan,0.00691
Austria,Mexico,0.0069
Egypt,Iraq,0.00685
Mexico,Paraguay,0.00679
Japan,Panama,0.00678
Senegal,Uzbekistan,0.00668
South Africa,Sweden,0.00668
Cape Verde,Iran,0.00667
Bosnia and Herzegovina,Tunisia,0.00662
Australia,Uzbekistan,0.00657
Jordan,Uzbekistan,0.00655
Argentina,Japan,0.00653
Morocco,Portugal,0.00645
South Africa,Spain,0.00642
Iran,Japan,0.00627
Bosnia and Herzegovina,Norway,0.00619
Algeria,Mexico,0.00616
Belgium,Qatar,0.00615
Paraguay,Turkey,0.006119999999999903
Austria,DR Congo,0.00607
Algeria,Argentina,0.006040000000000045
Saudi Arabia,Spain,0.006040000000000045
Iraq,Morocco,0.00602
Austria,Germany,0.00597
Portugal,Saudi Arabia,0.00597
Egypt,England,0.00591
Brazil,Morocco,0.005900000000000016
Canada,Croatia,0.0059
England,Haiti,0.00586
Cape Verde,Turkey,0.00585
Brazil,Turkey,0.00584
Japan,Uruguay,0.00579
Czech Republic,Paraguay,0.0057
Australia,Mexico,0.00569
Argentina,Jordan,0.005659999999999998
Curaçao,Morocco,0.00562
Paraguay,South Korea,0.00562
Iraq,Japan,0.00559
Iraq,Netherlands,0.00557
Curaçao,Spain,0.00552
Austria,Norway,0.00549
Senegal,South Africa,0.00548
Austria,Ecuador,0.00547
Mexico,United States,0.00547
Panama,Scotland,0.00546
Canada,Uruguay,0.00537
South Africa,Turkey,0.00534
Netherlands,Panama,0.00531
Belgium,Scotland,0.0053
Curaçao,New Zealand,0.00528
Algeria,Germany,0.00524
Curaçao,Egypt,0.00523
Jordan,Mexico,0.00521
Ghana,Uruguay,0.00518
Iraq,Scotland,0.00518
Czech Republic,United States,0.00509
Panama,Turkey,0.00507
Paraguay,Saudi Arabia,0.00505
Australia,Turkey,0.0050200000000000244
Curaçao,Scotland,0.00502
Portugal,Scotland,0.00502
Croatia,Tunisia,0.00501
Croatia,England,0.005009999999999959
Saudi Arabia,United States,0.00498
Algeria,Norway,0.00496
Cape Verde,New Zealand,0.00496
DR Congo,Germany,0.0049
Algeria,Ecuador,0.00488
Argentina,Czech Republic,0.00487
Bosnia and Herzegovina,Morocco,0.00487
Curaçao,Japan,0.00487
South Korea,United States,0.00487
Qatar,Tunisia,0.00482
Cape Verde,Egypt,0.00481
Brazil,Uruguay,0.00475
Bosnia and Herzegovina,Brazil,0.00474
Bosnia and Herzegovina,Senegal,0.00473
Morocco,Scotland,0.004729999999999901
Turkey,United States,0.004729999999999901
Egypt,Netherlands,0.00471
Norway,Qatar,0.0047
Algeria,DR Congo,0.00469
Cape Verde,Colombia,0.00469
Germany,Saudi Arabia,0.00466
Ecuador,Saudi Arabia,0.00465
Argentina,South Korea,0.00462
Australia,South Korea,0.00459
Bosnia and Herzegovina,Sweden,0.00455
Haiti,Ivory Coast,0.00453
Portugal,Qatar,0.00449
Panama,Tunisia,0.00448
England,New Zealand,0.00447
Curaçao,Netherlands,0.00446
Netherlands,Tunisia,0.0044599999999999085
France,Iraq,0.004450000000000065
Germany,Jordan,0.00444
Croatia,Iran,0.00443
Bosnia and Herzegovina,Iran,0.0043
Bosnia and Herzegovina,Egypt,0.00426
DR Congo,Mexico,0.00426
Australia,Czech Republic,0.00423
Canada,DR Congo,0.00421
Saudi Arabia,Senegal,0.00421
Croatia,Paraguay,0.0042
DR Congo,France,0.0042
Ghana,Mexico,0.00419
Japan,Tunisia,0.0041400000000000325
Argentina,Tunisia,0.00414
Austria,Netherlands,0.00413
DR Congo,Turkey,0.00413
Argentina,Iraq,0.00411
Croatia,Sweden,0.0041
DR Congo,Ecuador,0.0041
Haiti,Senegal,0.00408
Morocco,Turkey,0.00407
Canada,Panama,0.00402
DR Congo,Ivory Coast,0.00402
Cape Verde,Portugal,0.00401
Australia,Saudi Arabia,0.00396
Ghana,Ivory Coast,0.00394
Ecuador,Jordan,0.00391
Austria,Czech Republic,0.00389
Bosnia and Herzegovina,Scotland,0.00389
DR Congo,Jordan,0.00389
Brazil,Paraguay,0.00387
Bosnia and Herzegovina,New Zealand,0.00385
Austria,Brazil,0.00381
Belgium,Iran,0.0038000000000000256
DR Congo,Senegal,0.0038
Brazil,Scotland,0.003770000000000051
Iran,Qatar,0.00375
Brazil,Uzbekistan,0.00374
Croatia,South Africa,0.00371
Australia,DR Congo,0.00367
Argentina,Morocco,0.00366
South Africa,Uruguay,0.00365
Egypt,Japan,0.00364
DR Congo,Paraguay,0.00361
Paraguay,United States,0.003609999999999891
Algeria,Czech Republic,0.00359
Canada,Haiti,0.00359
DR Congo,United States,0.00359
Netherlands,New Zealand,0.00357
Austria,Japan,0.00355
Germany,Ghana,0.00354
Belgium,DR Congo,0.00348
Australia,Paraguay,0.0034799999999999276
Iraq,Tunisia,0.00346
Jordan,Norway,0.00346
Algeria,Netherlands,0.00345
Colombia,Uzbekistan,0.003449999999999953
Austria,South Korea,0.00343
Iran,Tunisia,0.00342
Qatar,Sweden,0.00341
Netherlands,Sweden,0.003409999999999913
Bosnia and Herzegovina,Spain,0.00339
Morocco,Qatar,0.00337
Panama,Sweden,0.00332
Australia,Croatia,0.00331
Cape Verde,Spain,0.003290000000000015
Ecuador,Ghana,0.00328
Curaçao,South Africa,0.00326
Morocco,Uruguay,0.00326
Algeria,Japan,0.00325
Cape Verde,Paraguay,0.00325
South Korea,Uzbekistan,0.00325
Algeria,Brazil,0.00324
Haiti,South Africa,0.00323
Croatia,United States,0.00322
DR Congo,Norway,0.00322
Argentina,Sweden,0.00321
Australia,United States,0.003190000000000026
England,Panama,0.003190000000000026
Brazil,Qatar,0.00317
Qatar,Senegal,0.00317
Australia,Brazil,0.00316
Cape Verde,United States,0.00316
Saudi Arabia,South Africa,0.00316
Panama,South Africa,0.00314
Czech Republic,Uzbekistan,0.00313
Brazil,United States,0.00312
Algeria,South Korea,0.00311
Ghana,Senegal,0.0031
Japan,New Zealand,0.00309
Scotland,Turkey,0.00308
Cape Verde,Ecuador,0.00306
Curaçao,Tunisia,0.003
Iran,Sweden,0.003
Iraq,Uzbekistan,0.00295
Tunisia,Uruguay,0.00295
Brazil,Jordan,0.00294
Iraq,Uruguay,0.00294
Panama,Paraguay,0.00294
Egypt,Qatar,0.00292
Argentina,Curaçao,0.0029
Qatar,Spain,0.0029
Iraq,Sweden,0.00289
New Zealand,Qatar,0.00288
Brazil,Saudi Arabia,0.00287
Scotland,Uruguay,0.00287
Qatar,Scotland,0.00285
Austria,Bosnia and Herzegovina,0.00284
Argentina,Ghana,0.00279
Haiti,Switzerland,0.00276
Iran,Uzbekistan,0.00275
Curaçao,Uzbekistan,0.00274
Czech Republic,Jordan,0.00273
Austria,Ivory Coast,0.0027
Bosnia and Herzegovina,Jordan,0.0027
Croatia,Egypt,0.0027
Iraq,South Africa,0.0027
Japan,Sweden,0.0026999999999999247
Austria,Senegal,0.00267
Japan,Uzbekistan,0.00266
Sweden,Uruguay,0.00266
Cape Verde,Germany,0.00263
Colombia,South Africa,0.00263
Brazil,Iran,0.00258
Argentina,Scotland,0.00257
Jordan,South Korea,0.00253
Morocco,Paraguay,0.00253
Algeria,Senegal,0.00252
Bosnia and Herzegovina,Curaçao,0.0025
Austria,Ghana,0.00248
Brazil,DR Congo,0.00248
Iran,Panama,0.00248
Japan,Jordan,0.00248
Netherlands,Saudi Arabia,0.00248
